calendar_id,trade_date,year,month,day,day_of_week,quarter,is_month_end
1,2019-01-02,2019,1,2,Wednesday,1,False
2,2019-01-03,2019,1,3,Thursday,1,False
3,2019-01-04,2019,1,4,Friday,1,False
4,2019-01-07,2019,1,7,Monday,1,False
5,2019-01-08,2019,1,8,Tuesday,1,False
6,2019-01-09,2019,1,9,Wednesday,1,False
7,2019-01-10,2019,1,10,Thursday,1,False
8,2019-01-11,2019,1,11,Friday,1,False
9,2019-01-14,2019,1,14,Monday,1,False
10,2019-01-15,2019,1,15,Tuesday,1,False
11,2019-01-16,2019,1,16,Wednesday,1,False
12,2019-01-17,2019,1,17,Thursday,1,False
13,2019-01-18,2019,1,18,Friday,1,False
14,2019-01-22,2019,1,22,Tuesday,1,False
15,2019-01-23,2019,1,23,Wednesday,1,False
16,2019-01-24,2019,1,24,Thursday,1,False
17,2019-01-25,2019,1,25,Friday,1,False
18,2019-01-28,2019,1,28,Monday,1,False
19,2019-01-29,2019,1,29,Tuesday,1,False
20,2019-01-30,2019,1,30,Wednesday,1,False
21,2019-01-31,2019,1,31,Thursday,1,True
22,2019-02-01,2019,2,1,Friday,1,False
23,2019-02-04,2019,2,4,Monday,1,False
24,2019-02-05,2019,2,5,Tuesday,1,False
25,2019-02-06,2019,2,6,Wednesday,1,False
26,2019-02-07,2019,2,7,Thursday,1,False
27,2019-02-08,2019,2,8,Friday,1,False
28,2019-02-11,2019,2,11,Monday,1,False
29,2019-02-12,2019,2,12,Tuesday,1,False
30,2019-02-13,2019,2,13,Wednesday,1,False
31,2019-02-14,2019,2,14,Thursday,1,False
32,2019-02-15,2019,2,15,Friday,1,False
33,2019-02-19,2019,2,19,Tuesday,1,False
34,2019-02-20,2019,2,20,Wednesday,1,False
35,2019-02-21,2019,2,21,Thursday,1,False
36,2019-02-22,2019,2,22,Friday,1,False
37,2019-02-25,2019,2,25,Monday,1,False
38,2019-02-26,2019,2,26,Tuesday,1,False
39,2019-02-27,2019,2,27,Wednesday,1,False
40,2019-02-28,2019,2,28,Thursday,1,True
41,2019-03-01,2019,3,1,Friday,1,False
42,2019-03-04,2019,3,4,Monday,1,False
43,2019-03-05,2019,3,5,Tuesday,1,False
44,2019-03-06,2019,3,6,Wednesday,1,False
45,2019-03-07,2019,3,7,Thursday,1,False
